id,name
pos_822,infrastructure_systems_engineer
pos_823,sr_linux_systems_engineer
pos_824,system_operations_engineer
pos_825,site_reliabilty_engineer
pos_826,senior_research_engineer
pos_827,machine_learn_engineer
pos_828,software_data_engineer
pos_829,research_scientist
pos_830,senior_big_data_engineer
pos_831,firmware_configuration_manager
pos_832,ios_software_engineer
pos_833,mobile_engineer_lead
pos_834,sr_ios_developer
pos_835,lead_ios_engineer
pos_836,lead_ios_developer
pos_837,ios_swift_mentor
pos_838,mobile_engineer
pos_839,mobile_developer
pos_840,ios_lead
pos_841,senior_mobile_developer
pos_842,php_developer
pos_843,director_of_devops_engineer
pos_844,software_engineer_quality
pos_845,lead_software_development_engineer_in_test
pos_846,test_architect
pos_847,sr_mts
pos_848,software_qa_engineer
pos_849,software_automation_engineer
pos_850,java_automation_engineer
pos_851,quality_assurance_test_lead
pos_852,sqa_engineer
pos_853,software_test_specialist
pos_854,quality_assurance_lead
pos_855,qe_lead
pos_856,test_automation_engineer
pos_857,qa_automation_engineer
pos_858,automation_lead
pos_859,test_automation_architect
pos_860,sr_swe_in_test
pos_861,senior_software_engineer_in_quality
pos_862,ui_developer
pos_863,ux_developer
pos_864,user_experience_developer
pos_865,user_interface_developer
pos_866,web_devloper
pos_867,executive_director
pos_868,partner
pos_869,principal_ui_developer
pos_870,lead_ui_architect
pos_871,senior_web_developer
pos_872,web_ui_engineer
pos_873,frontend_lead
pos_874,front_end_software_developer
pos_875,senior_web_applications_engineer
pos_876,ui_and_platform_specialist
pos_877,lead_ui_engineer
pos_878,front_end_architect
pos_879,market_assistant
pos_880,market_associate
pos_881,jee_developer
pos_882,ios_dveloper
pos_883,ios_client
pos_884,ios_development
pos_885,mac_os_x_developer
pos_886,mac_os_x_engineer
pos_887,iphone_developer
pos_888,iphone_engineer
pos_889,software_development_manager
pos_890,software_development_director
pos_891,engineer_director
pos_892,director_of_people
pos_893,director_of_hr
pos_894,director_human_resources
pos_895,qc_laboratories
pos_896,quality_control_lab
pos_897,qc_chemist
pos_898,lead_qa
pos_899,lead_quality
pos_900,full_stack_engineer
pos_901,software_develop
pos_902,product_analytics
pos_903,data_analytics
pos_904,quantitative_analytics
pos_905,business_analytics
pos_906,analysis
pos_907,analyze
pos_908,technical_account_manager
pos_909,senior_product_manager
pos_910,product_lifecycle_management
pos_911,materials
pos_912,warehouse
pos_913,lead_programmer
pos_914,lead_software_developer
pos_915,site_reliability_operation
pos_916,sro
pos_917,site_reliability
pos_918,admin
pos_919,administration
pos_920,data_analysis
pos_921,data_mine
pos_922,technology_consultant
pos_923,presales_consultant
pos_924,solution_consultant
pos_925,solution_engineer
pos_926,new_business
pos_927,leader
pos_928,market_lead
pos_929,market_executive
pos_930,head_of_business_development
pos_931,business_manager
pos_932,business_intelligence_consultant
pos_933,bi_consulatnt
pos_934,bi_presales
pos_935,bi_pre_sales
pos_936,cyber_security
pos_937,security_consult
pos_938,information_security
pos_939,talent_acquisition
pos_940,software_quality_assurance
pos_941,senior_manager_internal_audit
pos_942,clinical_scientists
pos_943,clinical_research_scientists
pos_944,clinical_trial_leaders
pos_945,clinical_study_managers
pos_946,clinical_trial_managers
pos_947,internal_audit_director
pos_948,internal_audit_manager
pos_949,account_payable_manager
pos_950,ap_manager
pos_951,front_end_enginner
pos_952,bia
pos_953,administrator
pos_954,dbd
pos_955,sr_process_engineer
pos_956,equipment
pos_957,automation
pos_958,director_of_clinical_operations
pos_959,quality_director
pos_960,qa_director
pos_961,quality_assurance_director
pos_962,director_of_quality_assurance
pos_963,principal_data_architect
pos_964,senior_data_architect
pos_965,lead_data_architect
pos_966,quality_assurance_or_quality
pos_967,level_manger_or_director_or_consultant
pos_968,channel_partner
pos_969,channel_manager
pos_970,sr_financial_analyst
pos_971,research_assistant
pos_972,research_associate
pos_973,research_fellow
pos_974,sas
pos_975,email_market_associate
pos_976,email_market_coordinator
pos_977,email_campaign
pos_978,email_market_assistant
pos_979,digital_market_associate
pos_980,digital_market_coordinator
pos_981,visual_fx_artist
pos_982,fx_artist
pos_983,vfx_artist
pos_984,senior_level_pm
pos_985,process_manager
pos_986,mobile_ui_designer
